135,136,143,distance,heart_rate,timestamp
2,89,82,0.0,89,2025-07-08 09:25:20+00:00
0,90,82,0.0,90,2025-07-08 09:25:23+00:00
2,89,82,0.0,89,2025-07-08 09:25:24+00:00
7,91,82,0.0,91,2025-07-08 09:25:25+00:00
12,92,82,0.0,92,2025-07-08 09:25:26+00:00
27,93,82,0.0,93,2025-07-08 09:25:28+00:00
33,94,82,0.0,94,2025-07-08 09:25:30+00:00
36,95,82,0.0,95,2025-07-08 09:25:31+00:00
41,94,82,0.0,94,2025-07-08 09:25:32+00:00
35,92,82,0.0,92,2025-07-08 09:25:33+00:00
13,89,82,0.0,89,2025-07-08 09:25:34+00:00
9,87,82,0.0,87,2025-07-08 09:25:35+00:00
9,86,82,0.0,86,2025-07-08 09:25:36+00:00
4,87,82,0.0,87,2025-07-08 09:25:38+00:00
6,86,82,0.0,86,2025-07-08 09:25:41+00:00
9,87,82,0.0,87,2025-07-08 09:25:42+00:00
15,83,82,0.0,83,2025-07-08 09:25:46+00:00
19,81,82,0.0,81,2025-07-08 09:25:47+00:00
21,79,82,0.0,79,2025-07-08 09:25:48+00:00
17,80,82,0.0,80,2025-07-08 09:25:49+00:00
15,78,82,0.0,78,2025-07-08 09:25:50+00:00
2,77,82,0.0,77,2025-07-08 09:25:51+00:00
1,76,82,0.0,76,2025-07-08 09:25:52+00:00
2,73,82,0.0,73,2025-07-08 09:25:54+00:00
4,70,82,0.0,70,2025-07-08 09:25:55+00:00
2,66,82,0.0,66,2025-07-08 09:25:56+00:00
1,65,82,0.0,65,2025-07-08 09:25:57+00:00
0,66,82,0.0,66,2025-07-08 09:26:00+00:00
0,65,82,0.0,65,2025-07-08 09:26:01+00:00
0,66,82,0.0,66,2025-07-08 09:26:03+00:00
2,67,82,0.0,67,2025-07-08 09:26:09+00:00
1,68,82,0.0,68,2025-07-08 09:26:11+00:00
1,69,82,0.0,69,2025-07-08 09:26:12+00:00
1,70,82,0.0,70,2025-07-08 09:26:13+00:00
1,71,82,0.0,71,2025-07-08 09:26:15+00:00
0,72,82,0.0,72,2025-07-08 09:26:17+00:00
2,71,82,0.0,71,2025-07-08 09:26:19+00:00
10,72,82,0.0,72,2025-07-08 09:26:24+00:00
18,71,82,0.0,71,2025-07-08 09:26:25+00:00
24,73,82,0.0,73,2025-07-08 09:26:26+00:00
45,74,82,0.0,74,2025-07-08 09:26:29+00:00
53,73,82,0.0,73,2025-07-08 09:26:31+00:00
12,71,82,0.0,71,2025-07-08 09:26:32+00:00
17,72,82,0.0,72,2025-07-08 09:26:33+00:00
9,74,82,0.0,74,2025-07-08 09:26:34+00:00
0,73,82,0.0,73,2025-07-08 09:26:44+00:00
1,74,82,0.0,74,2025-07-08 09:26:46+00:00
5,75,82,0.0,75,2025-07-08 09:26:47+00:00
11,74,82,0.0,74,2025-07-08 09:26:49+00:00
22,75,82,0.0,75,2025-07-08 09:26:53+00:00
19,76,82,0.0,76,2025-07-08 09:26:55+00:00
25,77,82,0.0,77,2025-07-08 09:26:56+00:00
33,76,82,0.0,76,2025-07-08 09:26:57+00:00
46,77,82,0.0,77,2025-07-08 09:27:02+00:00
49,81,82,0.0,81,2025-07-08 09:27:03+00:00
53,82,82,0.0,82,2025-07-08 09:27:04+00:00
57,84,82,0.0,84,2025-07-08 09:27:05+00:00
55,88,82,0.0,88,2025-07-08 09:27:06+00:00
53,91,82,0.0,91,2025-07-08 09:27:07+00:00
49,94,82,0.0,94,2025-07-08 09:27:08+00:00
43,97,82,0.0,97,2025-07-08 09:27:09+00:00
36,100,82,0.0,100,2025-07-08 09:27:10+00:00
24,104,82,0.0,104,2025-07-08 09:27:11+00:00
18,106,82,0.0,106,2025-07-08 09:27:12+00:00
19,107,82,0.0,107,2025-07-08 09:27:13+00:00
43,106,82,0.0,106,2025-07-08 09:27:22+00:00
50,107,82,0.0,107,2025-07-08 09:27:23+00:00
58,106,82,0.0,106,2025-07-08 09:27:24+00:00
67,103,82,0.0,103,2025-07-08 09:27:26+00:00
36,90,82,0.0,90,2025-07-08 09:27:27+00:00
10,84,82,0.0,84,2025-07-08 09:27:28+00:00
10,84,82,0.0,84,2025-07-08 09:27:29+00:00
3,83,82,0.0,83,2025-07-08 09:27:34+00:00
2,79,82,0.0,79,2025-07-08 09:27:35+00:00
1,77,82,0.0,77,2025-07-08 09:27:36+00:00
1,76,82,0.0,76,2025-07-08 09:27:37+00:00
3,75,82,0.0,75,2025-07-08 09:27:38+00:00
1,74,82,0.0,74,2025-07-08 09:27:40+00:00
2,73,82,0.0,73,2025-07-08 09:27:41+00:00
2,72,82,0.0,72,2025-07-08 09:27:42+00:00
3,71,82,0.0,71,2025-07-08 09:27:43+00:00
2,73,82,0.0,73,2025-07-08 09:27:44+00:00
4,74,82,0.0,74,2025-07-08 09:27:45+00:00
2,75,82,0.0,75,2025-07-08 09:27:46+00:00
4,72,82,0.0,72,2025-07-08 09:27:48+00:00
1,67,82,0.0,67,2025-07-08 09:27:49+00:00
1,66,82,0.0,66,2025-07-08 09:27:50+00:00
1,65,82,0.0,65,2025-07-08 09:27:51+00:00
1,64,82,0.0,64,2025-07-08 09:27:53+00:00
1,65,82,0.0,65,2025-07-08 09:27:57+00:00
0,64,82,0.0,64,2025-07-08 09:28:00+00:00
0,63,82,0.0,63,2025-07-08 09:28:01+00:00
0,61,82,0.0,61,2025-07-08 09:28:02+00:00
0,60,82,0.0,60,2025-07-08 09:28:03+00:00
0,58,82,0.0,58,2025-07-08 09:28:04+00:00
0,59,82,0.0,59,2025-07-08 09:28:06+00:00
0,58,82,0.0,58,2025-07-08 09:28:09+00:00
1,57,82,0.0,57,2025-07-08 09:28:12+00:00
